Definition,Sentence
customs authorities,"the regular provision to the Commission of information on the measures taken to enable the customs authorities or economic operators concerned to make full and effective use of the European electronic systems;"
customs authorities,"technical support aimed at improving administrative procedures, enhancing administrative capacity and improving the functioning and operations of customs authorities through the development and sharing of best practices."
European electronic systems,"The exchange of customs information and other related information is key for the proper functioning of customs and goes well beyond the exchanges within the customs union. Adaptations of, or extensions to, the European electronic systems to enable cooperation with third countries that are not participating in the Programme and with international organisations could be of interest to the Union. Therefore, when duly justified by such an interest, the corresponding adaptations or extensions to the European electronic systems should be eligible for funding under the Programme."
European electronic systems,"IT capacity-building actions are expected to attract the greatest share of the budget under the Programme. Among those IT capacity-building actions, top priority should be given to those actions related to electronic systems that are necessary for the implementation of the customs union and for customs authorities to carry out their mission. The common and national components of the European electronic systems should be defined in this Regulation. Combinations of common and national components are possible. Moreover, the scope of actions and the responsibilities of the Commission and the Member States should be clearly defined."
European electronic systems,"‘European electronic systems’ means electronic systems necessary for the customs union and for the execution of the mission of customs authorities, in particular the electronic systems referred to in Article 16(1) and Articles 278 and 280 of Regulation (EU) No 952/2013, Article 8 of Regulation (EU) 2019/880 of the European Parliament and of the Council (17), and in other provisions of Union law governing electronic systems for customs purposes, including international agreements, such as the Customs Convention on the international transport of goods under cover of TIR carnets (TIR Convention) (18);"
European electronic systems,"‘common component’ means a component of the European electronic systems, developed at Union level, which is available for all Member States or identified as common by the Commission for reasons of efficiency, security and rationalisation;"
European electronic systems,"‘national component’ means a component of the European electronic systems, developed at national level, which is available in the Member State that created that component or contributed to its joint creation;"
European electronic systems,"administrative and IT capacity building, including human competency and training, as well as the development and operation of European electronic systems;"
European electronic systems,"IT capacity-building actions, in particular the development and operation of European electronic systems;"
European electronic systems,"4.   Actions consisting in the development, deployment, maintenance and operation of adaptations of or extensions to the common components of the European electronic systems to enable cooperation with third countries that are not participating in the Programme or with international organisations shall be eligible for funding when they are of interest to the Union. The Commission shall put in place the necessary administrative arrangements, which may include a requirement for the third parties concerned to contribute financially to those actions."
European electronic systems,"1.   The Commission and the Member States shall jointly, and in accordance with the relevant provisions of Union law referred to in the definition in point (2) of Article 2, ensure the development and operation of the European electronic systems, including their design, specification, conformance testing, deployment, maintenance, evolution, modernisation, security, quality assurance and quality control."
European electronic systems,"the overall coordination of the development and operation of European electronic systems with a view to achieving their operability, cyber-resilience, interconnectivity, continuous improvement and synchronised implementation, and, as part of that overall coordination, the facilitation of an efficient and swift communication with and between Member States on matters related to those systems;"
European electronic systems,"the coordination of European electronic systems at Union level with a view to their promotion and implementation at national level;"
European electronic systems,"the coordination of the development and operation of European electronic systems as regards their interactions with third parties, excluding actions designed to meet national requirements;"
European electronic systems,"the coordination of European electronic systems with other relevant actions relating to eGovernment at Union level;"
European electronic systems,"the timely and transparent communication with the stakeholders that are concerned with the implementation of European electronic systems at Union and Member State level, in particular about delays in the implementation of common and national components."
European electronic systems,"the coordination of European electronic systems with other relevant actions relating to eGovernment at national level;"
European electronic systems,"the regular provision to the Commission of information on the measures taken to enable the customs authorities or economic operators concerned to make full and effective use of the European electronic systems;"
European electronic systems,"the implementation at national level of European electronic systems."
European electronic systems,"4.   The Commission shall publish and regularly update, for information purposes, an indicative list of the European electronic systems financed under the Programme."
European electronic systems,"the availability of European electronic systems (in terms of percentage of time);"
European electronic systems,"the use of key European electronic systems aimed at increasing interconnectivity and moving to a paper-free customs union (number of messages exchanged and consultations carried out);"
common component,"‘common component’ means a component of the European electronic systems, developed at Union level, which is available for all Member States or identified as common by the Commission for reasons of efficiency, security and rationalisation;"
common component,"4.   Actions consisting in the development, deployment, maintenance and operation of adaptations of or extensions to the common components of the European electronic systems to enable cooperation with third countries that are not participating in the Programme or with international organisations shall be eligible for funding when they are of interest to the Union. The Commission shall put in place the necessary administrative arrangements, which may include a requirement for the third parties concerned to contribute financially to those actions."
common component,"the development and operation of common components;"
national component,"IT capacity-building actions are expected to attract the greatest share of the budget under the Programme. Among those IT capacity-building actions, top priority should be given to those actions related to electronic systems that are necessary for the implementation of the customs union and for customs authorities to carry out their mission. The common and national components of the European electronic systems should be defined in this Regulation. Combinations of common and national components are possible. Moreover, the scope of actions and the responsibilities of the Commission and the Member States should be clearly defined."
national component,"‘national component’ means a component of the European electronic systems, developed at national level, which is available in the Member State that created that component or contributed to its joint creation;"
national component,"the timely and transparent communication with the stakeholders that are concerned with the implementation of European electronic systems at Union and Member State level, in particular about delays in the implementation of common and national components."
national component,"the development and operation of national components;"
national component,"the coordination of the development and operation of the national components at national level;"
third country,"‘third country’ means a country that is not a Member State of the Union."
third country,"other third countries, in accordance with the conditions laid down in a specific agreement covering the participation of the third country to any Union programme, provided that the agreement:"
third country,"ensures a fair balance as regards the contributions and benefits of the third country participating in the Union programmes;"
third country,"does not confer on the third country any decision-making power in respect of the Union programme;"
third country,"Where a third country participates in the Programme by means of a decision adopted pursuant to an international agreement or on the basis of any other legal instrument, the third country shall grant the necessary rights and access required for the authorising officer responsible, OLAF and the Court of Auditors to comprehensively exercise their respective competences. In the case of OLAF, such rights shall include the right to carry out investigations, including on-the-spot checks and inspections, as provided for in Regulation (EU, Euratom) No 883/2013."
