Definition,Sentence
Registry,"1.   The Registry shall set up and manage, with due diligence, a WHOIS database facility for the purpose of ensuring the security, stability and resilience of the .eu TLD by providing accurate and up-to-date registration information about the domain names under the .eu TLD."
Registry,"2.   The WHOIS database shall contain relevant information about the points of contact administering the domain names under the .eu TLD and the holders of the domain names. The information on the WHOIS database shall not be excessive in relation to the purpose of the database. The Registry shall comply with Regulation (EU) 2016/679 of the European Parliament and of the Council (9)."
Registry,"1.   The Commission shall monitor and supervise the organisation, administration and management of the .eu TLD by the Registry."
Registry,"2.   The Commission shall ascertain the soundness of financial management of the Registry and its compliance with this Regulation and with the principles and procedures on the functioning of the .eu TLD as referred to in Article 11. The Commission may request information from the Registry to that end."
Registry,"3.   In accordance with its supervisory activities, the Commission may convey specific instructions to the Registry for correcting or improving the organisation, administration and management of the .eu TLD."
Registry,"4.   The Commission may, as appropriate, consult the .eu Multistakeholder Advisory Group and other relevant stakeholders and may seek expert advice on the results of the supervisory activities provided for in this Article and on ways to improve the organisation, administration and management of the .eu TLD by the Registry."
Registry,"to advise the Commission on matters relating to the monitoring and supervision of the Registry, in particular with regard to the audit referred to in point (l) of Article 10;"
Registry,"The Union shall retain all rights relating to the .eu TLD including, in particular, any intellectual property rights or other rights to the Registry databases that are required to ensure the implementation of this Regulation, as well as the right to re-designate the Registry."
Registry,"1.   By 13 October 2027 and every three years thereafter, the Commission shall assess the implementation, effectiveness and functioning of the .eu TLD, based in particular on the information submitted by the Registry pursuant to point (l) of Article 10."
Registry,"2.   By 30 June 2020, the Commission shall assess, taking into account current practice, whether and how the Registry is to cooperate with the EUIPO and other Union agencies with a view to combating speculative and abusive registrations of domain names, and whether and how simple administrative procedures are to be provided for, in particular with regard to SMEs. The Commission may propose further measures in that regard, if necessary."
Registry,"2.   By 12 October 2021, the Commission shall take the necessary measures to designate an entity as the Registry and to enter into a contract with the Registry pursuant this Regulation. The contract shall be effective from 13 October 2022."
Registry,"3.   The contract concluded between the Commission and the Registry pursuant to point (c) of Article 3(1) of Regulation (EC) No 733/2002 shall continue to be effective until 12 October 2022."
Registrar,"To ensure the better protection of the right of the parties to contract with, respectively, the Registry and Registrars, disputes with regard to the registration of domain names in the .eu TLD should be solved by bodies located in the Union applying the relevant national law, without prejudice to rights and obligations recognised by the Member States or by the Union arising from international instruments."
Registrar,"‘Registrar’ means a natural or legal person that, on the basis of a contract with the Registry, provides domain name registration services to registrants;"
Registrar,"‘registration’ means the series of acts and procedural steps, from initiation to completion, taken by Registrars and the Registry upon the request of a natural or legal person for the purpose of implementing the registration of a domain name for a specified duration."
Registrar,"2.   Without prejudice to Regulation (EU) No 1215/2012 of the European Parliament and of the Council (8) or to the rights and obligations recognised by the Member States or by the Union that arise from international instruments, neither contracts between the Registry and Registrars nor contracts between Registrars and registrants of domain names shall designate a law other than that of one of the Member States as the applicable law, nor shall they designate a court, arbitration court or other body located outside the Union as the relevant dispute resolution body."
Registrar,"1.   The Registry shall accredit Registrars in accordance with reasonable, transparent and non-discriminatory accreditation procedures which have been approved in advance by the Commission. The Registry shall make the accreditation procedures publicly available in readily accessible form."
Registrar,"2.   The Registry shall apply equivalent conditions in equivalent circumstances in relation to accredited .eu Registrars that provide equivalent services. The Registry shall provide those Registrars with services and information under the same conditions, and of the same quality, as provided for its own equivalent services."
Registrar,"ensure, without prejudice to any court proceedings, and subject to adequate procedural guarantees for the parties concerned, the possibility for Registrars and registrants to resolve any contractual dispute with the Registry by means of ADR;"
Registrar,"register domain names in the .eu TLD through any accredited .eu Registrar requested by:"
Internationalised Domain Name protocols,"‘Internationalised Domain Name protocols’ means standards and protocols that support the use of domain names in characters that are not American Standard Code for Information Interchange (ASCII) characters;"
Internationalised Domain Name protocols,"1.   The registration of domain names shall be carried out in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols."
WHOIS database,"1.   The Registry shall set up and manage, with due diligence, a WHOIS database facility for the purpose of ensuring the security, stability and resilience of the .eu TLD by providing accurate and up-to-date registration information about the domain names under the .eu TLD."
WHOIS database,"2.   The WHOIS database shall contain relevant information about the points of contact administering the domain names under the .eu TLD and the holders of the domain names. The information on the WHOIS database shall not be excessive in relation to the purpose of the database. The Registry shall comply with Regulation (EU) 2016/679 of the European Parliament and of the Council (9)."
WHOIS database,"‘WHOIS database’ means the collection of data containing information on the technical and administrative aspects of the .eu TLD registrations;"
principles and procedures on the functioning of the .eu TLD,"‘principles and procedures on the functioning of the .eu TLD’ means detailed rules concerning the functioning and management of the .eu TLD;"
principles and procedures on the functioning of the .eu TLD,"4.   A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it:"
principles and procedures on the functioning of the .eu TLD,"4.   The Commission shall enter into a contract with the designated Registry. The contract shall specify the rules, policies and procedures for the provision of services by the Registry and the conditions according to which the Commission is to supervise the organisation, administration and management of the .eu TLD by the Registry. The contract shall be limited in time and shall be renewable once without the need to organise a new selection procedure. The contract shall reflect the obligations of the Registry and shall include the principles and procedures on the functioning of the .eu TLD laid down on the basis of Articles 10 and 11."
principles and procedures on the functioning of the .eu TLD,"publish the principles and procedures on the functioning of the .eu TLD laid down on the basis of Article 11 in all of the official languages of the Union institutions;"
principles and procedures on the functioning of the .eu TLD,"2.   The Commission shall ascertain the soundness of financial management of the Registry and its compliance with this Regulation and with the principles and procedures on the functioning of the .eu TLD as referred to in Article 11. The Commission may request information from the Registry to that end."
registration,"The .eu TLD should promote the use of, and access to, internet networks in accordance with Articles 170 and 171 TFEU by providing registration complementary to existing ccTLDs and to the global registration of generic TLDs."
registration,"The Commission should promote cooperation between the Registry, the European Union Intellectual Property Office (EUIPO) and other Union agencies, with a view to combating the speculative and abusive registrations of domain names, including cybersquatting, and providing simple administrative procedures, in particular for small and medium-sized enterprises (SMEs)."
registration,"To ensure the better protection of the right of the parties to contract with, respectively, the Registry and Registrars, disputes with regard to the registration of domain names in the .eu TLD should be solved by bodies located in the Union applying the relevant national law, without prejudice to rights and obligations recognised by the Member States or by the Union arising from international instruments."
registration,"The alternative dispute resolution (ADR) procedures to be adopted should comply with Directive 2013/11/EU of the European Parliament and of the Council (7) and take into account the international best practices in this area and in particular the relevant recommendations of the World Intellectual Property Organization, to ensure that speculative and abusive registrations are avoided as far as possible. Those ADR procedures should respect uniform procedural rules that are in line with those set out in ICANN's Uniform Domain Name Dispute-Resolution Policy."
registration,"The policy on the abusive registration of .eu domain names should provide for verification by the Registry of the data that it receives, specifically data concerning the identity of registrants, as well as revocation and blocking from future registration of domain names considered by a final decision of a Member State court to be defamatory, racist or otherwise contrary to the law of the Member State. The Registry should take the utmost care to ensure the correctness of the data that it receives and holds. The revocation procedure should allow the domain name holder a reasonable opportunity to rectify any breach of the eligibility criteria, registration requirements or outstanding debts before the revocation is to take effect."
registration,"The Registry should adopt clear policies aiming to ensure the timely identification of abusive registrations of domain names and, where necessary, should cooperate with competent authorities and other public bodies relevant to cybersecurity and information security which are specifically involved in the fight against such registrations, such as national computer emergency response teams (CERTs)."
registration,"‘Registry’ means the entity entrusted with the organisation, administration and management of the .eu TLD, including the maintenance of the corresponding databases and the associated public query services, the registration of domain names, the operation of the Registry of domain names, the operation of the Registry's TLD name servers, and the distribution of TLD zone files across name servers;"
registration,"‘Registrar’ means a natural or legal person that, on the basis of a contract with the Registry, provides domain name registration services to registrants;"
registration,"‘WHOIS database’ means the collection of data containing information on the technical and administrative aspects of the .eu TLD registrations;"
registration,"‘registration’ means the series of acts and procedural steps, from initiation to completion, taken by Registrars and the Registry upon the request of a natural or legal person for the purpose of implementing the registration of a domain name for a specified duration."
registration,"Registration of one or more domain names under the .eu TLD can be requested by any of the following:"
registration,"1.   A domain name shall be allocated to the eligible party whose request was first received by the Registry in the technically correct manner as laid down by the procedures for registration requests on the basis of point (b) of Article 11."
registration,"2.   A registered domain name shall be unavailable for further registration until the registration has expired without renewal, or until the domain name has been revoked."
registration,"the breach by the domain name holder of the requirements for registration requests laid down on the basis of points (b) and (c) of Article 11."
registration,"5.   Where a domain name is found by a decision of a court of a Member State to be defamatory, racist or contrary to public policy or public security under Union law, or national law that complies with Union law, that domain name shall be blocked by the Registry upon notification of the court's decision and shall be revoked upon notification of the final court decision. The Registry shall block from future registration those domain names which have been subject to such a court order for as long as that order remains valid."
registration,"6.   Domain names registered under the .eu TLD shall be transferable only to parties eligible for registration of .eu TLD names."
registration,"1.   The registration of domain names shall be carried out in all the characters of the official languages of the Union institutions, in accordance with the available international standards as allowed by the relevant Internationalised Domain Name protocols."
registration,"perform the registration of domain names in the .eu TLD where requested by any eligible party referred to in Article 3;"
registration,"requirements and procedures for registration requests, a policy on the verification of registration criteria, a policy on the verification of registrants' data, and a policy on the speculative registration of domain names;"
registration,"a policy on abusive registration of domain names and a policy on the timely identification of domain names that have been registered and used in bad faith, referred to in Article 4;"
registration,"1.   The Registry shall set up and manage, with due diligence, a WHOIS database facility for the purpose of ensuring the security, stability and resilience of the .eu TLD by providing accurate and up-to-date registration information about the domain names under the .eu TLD."
registration,"to advise the Commission on best practices as regards policies and measures against abusive registrations of domain names, in particular registrations without rights or legitimate interests and registrations used in bad faith."
registration,"2.   By 30 June 2020, the Commission shall assess, taking into account current practice, whether and how the Registry is to cooperate with the EUIPO and other Union agencies with a view to combating speculative and abusive registrations of domain names, and whether and how simple administrative procedures are to be provided for, in particular with regard to SMEs. The Commission may propose further measures in that regard, if necessary."
registration,"(4)  Commission Regulation (EC) No 874/2004 of 28 April 2004 laying down public policy rules concerning the implementation and functions of the .eu Top Level Domain and the principles governing registration (OJ L 162, 30.4.2004, p. 40)."
