Definition,Sentence
beneficiary person,"‘accessible format copy’ means a copy of a work or other subject matter in an alternative manner or form that gives a beneficiary person access to the work or other subject matter, including allowing such person to have access as feasibly and comfortably as a person without any of the impairments or disabilities referred to in point 2;"
beneficiary person,"‘authorised entity established in a Member State’ means an entity that is authorised or recognised by a Member State to provide education, instructional training, adaptive reading or information access to beneficiary persons on a non-profit basis. It also includes a public institution or non-profit organisation that provides the same services to beneficiary persons as one of its primary activities, institutional obligations or as part of its public-interest missions."
beneficiary person,"An authorised entity established in a Member State may distribute, communicate or make available to beneficiary persons or to an authorised entity established in a third country that is a party to the Marrakesh Treaty an accessible format copy of a work or other subject matter made in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564."
beneficiary person,"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty."
beneficiary person,"distributes, communicates and makes available accessible format copies only to beneficiary persons or other authorised entities;"
beneficiary person,"An authorised entity established in a Member State shall establish and follow the practices referred to in the first subparagraph in full respect of the rules applicable to the processing of personal data of beneficiary persons referred to in Article 6."
beneficiary person,"2.   An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall provide the following information in an accessible way, on request, to beneficiary persons, other authorised entities or rightholders:"
accessible format copy,"‘accessible format copy’ means a copy of a work or other subject matter in an alternative manner or form that gives a beneficiary person access to the work or other subject matter, including allowing such person to have access as feasibly and comfortably as a person without any of the impairments or disabilities referred to in point 2;"
accessible format copy,"An authorised entity established in a Member State may distribute, communicate or make available to beneficiary persons or to an authorised entity established in a third country that is a party to the Marrakesh Treaty an accessible format copy of a work or other subject matter made in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564."
accessible format copy,"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty."
authorised entity established in a Member State,"‘authorised entity established in a Member State’ means an entity that is authorised or recognised by a Member State to provide education, instructional training, adaptive reading or information access to beneficiary persons on a non-profit basis. It also includes a public institution or non-profit organisation that provides the same services to beneficiary persons as one of its primary activities, institutional obligations or as part of its public-interest missions."
authorised entity established in a Member State,"An authorised entity established in a Member State may distribute, communicate or make available to beneficiary persons or to an authorised entity established in a third country that is a party to the Marrakesh Treaty an accessible format copy of a work or other subject matter made in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564."
authorised entity established in a Member State,"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty."
authorised entity established in a Member State,"1.   An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it:"
authorised entity established in a Member State,"An authorised entity established in a Member State shall establish and follow the practices referred to in the first subparagraph in full respect of the rules applicable to the processing of personal data of beneficiary persons referred to in Article 6."
authorised entity established in a Member State,"2.   An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall provide the following information in an accessible way, on request, to beneficiary persons, other authorised entities or rightholders:"
